filename,video_link,current_category,suggested_category,confidence,action,issues,difficulty,transcript_preview,reviewer_decision,reviewer_category,reviewer_notes
IMG_4926.MOV,https://drive.google.com/file/d/11INaVtW0ZQFySYfK8pprBnjDuvYOf5Hy/view,Other,,45,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED,Beginner, Thank you. Thank you.,,,
IMG_5121.MOV,https://drive.google.com/file/d/1Vn37PtZAA4GP70Ql-PXUK8IzOaPzjQIT/view,Other,,45,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED,Beginner, I wonder what they're like. Yeah. Fucking hell.,,,
IMG_2366.MOV,https://drive.google.com/file/d/1yGg1zRqV7VbggM-QbEB4KaZ9xvT52LBi/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, Go,,,
562868864af04148a32ee2956ffd3173.MOV,https://drive.google.com/file/d/1mqx5paz-tNO3CaswUAvFnIbGzohgnVy_/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, so,,,
IMG_0281.MOV,https://drive.google.com/file/d/1ea9vvCouNx1yseu0L2OP05CFwSkk74u8/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, off,,,
IMG_5085.MOV,https://drive.google.com/file/d/11HFMjy-ChM2dkPu0NKf8L2JyK0-adsCM/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate,,,,
IMG_5083.MOV,https://drive.google.com/file/d/1RncOz_o0xhk4PXZzgfv6Qh6psVXfP70R/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate,,,,
IMG_5087.MOV,https://drive.google.com/file/d/1ZQAFWtzIKp18Yl4LZ3vm17zxF9yuQTZT/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, My,,,
IMG_5074.MOV,https://drive.google.com/file/d/1uqRkwhmizOOlU8xOOWj_L5OmPEQnY3jU/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate,,,,
IMG_4932.MOV,https://drive.google.com/file/d/1CypmOxrrJSpmwVOE9TyapKfLnkVHXFV_/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate, ...,,,
IMG_4931.MOV,https://drive.google.com/file/d/1BbxmDCszYaHZrqDW8_QzxC2b82famki-/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate,,,,
IMG_2406.MOV,https://drive.google.com/file/d/1H6tUHDtJOsT1cT2oxhtnPz2e6FHLRn0h/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, go,,,
IMG_4927.MOV,https://drive.google.com/file/d/1EFLGPW2kmfn2eeJOAZJn-yiso9HOYEqF/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, 趕快,,,
IMG_5114.MOV,https://drive.google.com/file/d/1xyPV_6sECdZn-vc5Tj5Mek-TMoU-T_3P/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, the,,,
IMG_5100.MOV,https://drive.google.com/file/d/19eR-uop59XoYk8Rvxv9vevCNBFyhqE0j/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, Yep,,,
IMG_5083 (1).MOV,https://drive.google.com/file/d/1RncOz_o0xhk4PXZzgfv6Qh6psVXfP70R/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5074 (1).MOV,https://drive.google.com/file/d/1uqRkwhmizOOlU8xOOWj_L5OmPEQnY3jU/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5068 (1).MOV,https://drive.google.com/file/d/1tKm8SH6EKz0XL26e39IQ0GFLqp2lccUV/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5070 (1).MOV,https://drive.google.com/file/d/1mH_Q4bi_YhkMBbi2h3J7CKhhgeogE2pt/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,,,,
IMG_4927 (1).MOV,https://drive.google.com/file/d/1EFLGPW2kmfn2eeJOAZJn-yiso9HOYEqF/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,枷枷札,,,
IMG_4936 (1).MOV,https://drive.google.com/file/d/1ReYtrF8k3mfICS-CsA6i569ek6W7nR6-/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,sad,,,
IMG_2405 (1).MOV,https://drive.google.com/file/d/1ONzejwQbeeawuyvKjqsvNEOZPQ74qsA7/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Aye,,,
IMG_2366 (1).MOV,https://drive.google.com/file/d/1yGg1zRqV7VbggM-QbEB4KaZ9xvT52LBi/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go,,,
IMG_5081 (2).MOV,https://drive.google.com/file/d/1X799_CN57ruxXhmgNjof6kB-Xt9LN3ZC/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5068 (2).MOV,https://drive.google.com/file/d/1tKm8SH6EKz0XL26e39IQ0GFLqp2lccUV/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,,,,
IMG_4931 (2).MOV,https://drive.google.com/file/d/1BbxmDCszYaHZrqDW8_QzxC2b82famki-/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_4927 (2).MOV,https://drive.google.com/file/d/1EFLGPW2kmfn2eeJOAZJn-yiso9HOYEqF/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,有點腥!,,,
IMG_2394 (2).mov,https://drive.google.com/file/d/183OziderzyMMkra2JGG6e2ZwsEmtTha9/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go.,,,
IMG_2337 (2).MOV,https://drive.google.com/file/d/10120kWZqO5vwzFbOE9Z9X6A5rlpSyoc8/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,gio,,,
IMG_2366 (2).MOV,https://drive.google.com/file/d/1yGg1zRqV7VbggM-QbEB4KaZ9xvT52LBi/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go,,,
IMG_5100 (1).MOV,https://drive.google.com/file/d/19eR-uop59XoYk8Rvxv9vevCNBFyhqE0j/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Yep,,,
562868864af04148a32ee2956ffd3173 (2).MOV,https://drive.google.com/file/d/1mqx5paz-tNO3CaswUAvFnIbGzohgnVy_/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate, I,,,
IMG_5116 (2).MOV,https://drive.google.com/file/d/1ktoimbStozka5J6_jCL65k5ssg5LVl-w/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5100 (2).MOV,https://drive.google.com/file/d/19eR-uop59XoYk8Rvxv9vevCNBFyhqE0j/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Yep,,,
IMG_5074 (2).MOV,https://drive.google.com/file/d/1uqRkwhmizOOlU8xOOWj_L5OmPEQnY3jU/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5085 (2).MOV,https://drive.google.com/file/d/11HFMjy-ChM2dkPu0NKf8L2JyK0-adsCM/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5074 (3).MOV,https://drive.google.com/file/d/1uqRkwhmizOOlU8xOOWj_L5OmPEQnY3jU/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5069 (3).MOV,https://drive.google.com/file/d/1Gr9SmWPEXFJJyV4SIBqr5PJB58V5qGml/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, само,,,
IMG_5070 (3).MOV,https://drive.google.com/file/d/1mH_Q4bi_YhkMBbi2h3J7CKhhgeogE2pt/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5073 (3).MOV,https://drive.google.com/file/d/1RYDwpZ2qA_etnNGNS0p0rMXkA4L5Hx4r/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, is,,,
IMG_5081 (3).MOV,https://drive.google.com/file/d/1X799_CN57ruxXhmgNjof6kB-Xt9LN3ZC/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_4931 (3).MOV,https://drive.google.com/file/d/1BbxmDCszYaHZrqDW8_QzxC2b82famki-/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_2361 (3).MOV,https://drive.google.com/file/d/1W3GrI5X6TDmIscAyBWqAN98SN1lct3Fl/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, new,,,
IMG_2366 (3).MOV,https://drive.google.com/file/d/1yGg1zRqV7VbggM-QbEB4KaZ9xvT52LBi/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go,,,
IMG_2337 (3).MOV,https://drive.google.com/file/d/10120kWZqO5vwzFbOE9Z9X6A5rlpSyoc8/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Say,,,
IMG_5121 (3).MOV,https://drive.google.com/file/d/1Vn37PtZAA4GP70Ql-PXUK8IzOaPzjQIT/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,go,,,
IMG_5116 (3).MOV,https://drive.google.com/file/d/1ktoimbStozka5J6_jCL65k5ssg5LVl-w/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5100 (3).MOV,https://drive.google.com/file/d/19eR-uop59XoYk8Rvxv9vevCNBFyhqE0j/view,Other,,0,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Yep,,,
IMG_0284 (1).MOV,https://drive.google.com/file/d/1CCkexrJTbasR0W70Qh-p8Vjvp58w_d6Q/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Good.,,,
IMG_2346 (1).MOV,https://drive.google.com/file/d/1DBARYc3UYUwoYb3mNnDqba56UPYu6Lx9/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,走走走走走走走走走走,,,
IMG_4936 (2).MOV,https://drive.google.com/file/d/1ReYtrF8k3mfICS-CsA6i569ek6W7nR6-/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, 就是这点点点我觉得,,,
IMG_0627 (2).MOV,https://drive.google.com/file/d/1AP0TsQY6H8AKL4c_likyCNXzqAnQ07ho/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,行けよ ドンマゆで,,,
IMG_2346 (2).MOV,https://drive.google.com/file/d/1DBARYc3UYUwoYb3mNnDqba56UPYu6Lx9/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,走走走走走走走走走走,,,
IMG_5101 (1).MOV,https://drive.google.com/file/d/1sO4Y9QMlSU8SJc4PiYk_BKreDHjaHzY9/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,小袆 dibac,,,
IMG_0284 (2).MOV,https://drive.google.com/file/d/1CCkexrJTbasR0W70Qh-p8Vjvp58w_d6Q/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Good.,,,
IMG_5101 (2).MOV,https://drive.google.com/file/d/1sO4Y9QMlSU8SJc4PiYk_BKreDHjaHzY9/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,他比 actors,,,
IMG_5092 (2).MOV,https://drive.google.com/file/d/1S3FW0N-Grz0UEi7so66qhjsqbUPn_3o_/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, хороший im Brad,,,
IMG_4927 (3).MOV,https://drive.google.com/file/d/1EFLGPW2kmfn2eeJOAZJn-yiso9HOYEqF/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,刺刺刺刺 刺刺 刺刺 刺刺,,,
IMG_0284 (3).MOV,https://drive.google.com/file/d/1CCkexrJTbasR0W70Qh-p8Vjvp58w_d6Q/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Good.,,,
IMG_2346 (3).MOV,https://drive.google.com/file/d/1DBARYc3UYUwoYb3mNnDqba56UPYu6Lx9/view,Other,,10,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,走走走走走走走走走走,,,
c03e6bcd465e441fbe37cbd16ce8a107 (1).MOV,https://drive.google.com/file/d/1hRDXTBS7OqVu55V5CBMdvrLqdrEOplMV/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5085 (1).MOV,https://drive.google.com/file/d/11HFMjy-ChM2dkPu0NKf8L2JyK0-adsCM/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5081 (1).MOV,https://drive.google.com/file/d/1X799_CN57ruxXhmgNjof6kB-Xt9LN3ZC/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_4931 (1).MOV,https://drive.google.com/file/d/1BbxmDCszYaHZrqDW8_QzxC2b82famki-/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5070 (2).MOV,https://drive.google.com/file/d/1mH_Q4bi_YhkMBbi2h3J7CKhhgeogE2pt/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
c03e6bcd465e441fbe37cbd16ce8a107 (2).MOV,https://drive.google.com/file/d/1hRDXTBS7OqVu55V5CBMdvrLqdrEOplMV/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5083 (2).MOV,https://drive.google.com/file/d/1RncOz_o0xhk4PXZzgfv6Qh6psVXfP70R/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5085 (3).MOV,https://drive.google.com/file/d/11HFMjy-ChM2dkPu0NKf8L2JyK0-adsCM/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5083 (3).MOV,https://drive.google.com/file/d/1RncOz_o0xhk4PXZzgfv6Qh6psVXfP70R/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_5068 (3).MOV,https://drive.google.com/file/d/1tKm8SH6EKz0XL26e39IQ0GFLqp2lccUV/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
c03e6bcd465e441fbe37cbd16ce8a107 (3).MOV,https://drive.google.com/file/d/1hRDXTBS7OqVu55V5CBMdvrLqdrEOplMV/view,Route Running,,15,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; POSSIBLE_DUPLICATE,Intermediate,,,,
IMG_2346.MOV,https://drive.google.com/file/d/1DBARYc3UYUwoYb3mNnDqba56UPYu6Lx9/view,Other,,20,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner,走走走走走走走走走走,,,
IMG_0284.MOV,https://drive.google.com/file/d/1CCkexrJTbasR0W70Qh-p8Vjvp58w_d6Q/view,Other,,20,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Beginner, Good.,,,
IMG_5101.MOV,https://drive.google.com/file/d/1sO4Y9QMlSU8SJc4PiYk_BKreDHjaHzY9/view,Other,,20,RE_TRANSCRIBE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; UNCATEGORIZED,Intermediate,挺恐怖 management要那一首,,,
c03e6bcd465e441fbe37cbd16ce8a107.MOV,https://drive.google.com/file/d/1hRDXTBS7OqVu55V5CBMdvrLqdrEOplMV/view,Route Running,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT,Intermediate,,,,
IMG_5081.MOV,https://drive.google.com/file/d/1X799_CN57ruxXhmgNjof6kB-Xt9LN3ZC/view,Route Running,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT,Intermediate,,,,
IMG_5070.MOV,https://drive.google.com/file/d/1mH_Q4bi_YhkMBbi2h3J7CKhhgeogE2pt/view,Route Running,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT,Intermediate,,,,
IMG_5068.MOV,https://drive.google.com/file/d/1tKm8SH6EKz0XL26e39IQ0GFLqp2lccUV/view,Route Running,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT,Intermediate,,,,
IMG_0626 (1).MOV,https://drive.google.com/file/d/15UrSim9k8E1bI1mSXiPCrhI_TlRTe4M8/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Go!,,,
IMG_5116.MOV,https://drive.google.com/file/d/1ktoimbStozka5J6_jCL65k5ssg5LVl-w/view,Route Running,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT,Intermediate,,,,
IMG_2394 (1).mov,https://drive.google.com/file/d/183OziderzyMMkra2JGG6e2ZwsEmtTha9/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, go k,,,
IMG_4934 (2).MOV,https://drive.google.com/file/d/1uxzb5BCI8iJfoVwemPx5MXxVfGx_xfr2/view,Other,,25,RE_TRANSCRIBE,EMPTY_TRANSCRIPT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Yay!,,,
