filename,drill_type,difficulty,equipment,focus_area,description,coaching_cues,transcript
IMG_0283 (1).MOV,Other,Beginner,None,Technique,"The transcript indicates a positive reinforcement of a completed drill or exercise, suggesting it was a practice session. However, the specifics of the drill are unclear.",Emphasize execution of the drill | Encourage you to maintain enthusiasm, Great go! That was it!
IMG_0225 (1).MOV,Other,Beginner,None,Technique,This appears to be an unclear or incomplete video related to football training.,Focus on the fundamentals | Practice consistently, doing
IMG_0285 (1).MOV,Other,Beginner,None,Speed,"The transcript hints at a drill that involves quick starts or accelerations, most likely focusing on improving speed and reaction times.",Encourage explosive starts | Focus on maintaining form during acceleration," Now here we go, ready, go! There we go, nice!"
IMG_0287 (1).MOV,Other,Beginner,None,Technique,The video seems to involve basic instruction or encouragement without a clear drill described.,Stay focused on the task | Keep a positive attitude while drilling, Go There we go do it
IMG_0284 (1).MOV,Other,Beginner,None,Technique,"This video likely contains basic training elements for wide receivers, focusing on fundamental skills.",Maintain proper body position. | Focus on foot placement., Good.
IMG_0281 (1).MOV,Other,Beginner,None,Technique,"The video appears to capture a moment of a player struggling with a situation, possibly indicating a conversation or feedback about their performance or feelings during training.",Stay positive despite challenges | Communicate openly about what you're experiencing," ok no no no no it's ok , no i´m blocked"
IMG_0627 (1).MOV,Other,Beginner,None,,"The transcript appears unclear, and based on the filename, it likely pertains to a general training session. The specific content of the training is unknown.",N/A | N/A,はてさんに・・・うわぁ・・・ゆいっん・・・
562868864af04148a32ee2956ffd3173 (1).MOV,Other,Beginner,None,Technique,"The video likely includes basic instructions or guidance for a training drill, but the specific content is unclear.",Focus on listening to instructions | Stay engaged and ready to move," Get on, get on my."
IMG_0280 (1).MOV,Release Moves,Intermediate,None,"Technique, Agility",This drill focuses on getting away from the line of scrimmage by practicing release moves to shake off a defender. The athlete is instructed multiple times to push away and re-engage in the drill.,Push away from the line | Maintain proper form when releasing," Ready, go! You're gonna push away, you gotta get away from that line. Go! Take your take, take it. Out of the way, there we go. Ready, go! Now, nope, do it again. Go right there, here, here, here, start up."
IMG_5118.MOV,Other,Intermediate,None,Technique,"The video appears to focus on technique and possibly receiving skills, as the transcript suggests interaction and coaching cues.",Maintain focus and concentration | Use hands effectively to control the ball, the stuff I'm about to let them. You get the blasts there. They don't stop bugging. You didn't put hands on it.
IMG_5123.MOV,Other,Beginner,None,Technique,"The video appears to involve basic training or assistance, likely addressing fundamental aspects of training.",Pay attention to the basics | Ensure proper technique," You still need some help? Ah, this is all you're doing."
IMG_0224 (1).MOV,Other,Beginner,None,,The video appears to contain a brief introduction but lacks specific details about any particular drill or training exercise.,, I'm going to show this to you guys. Bye bye.
IMG_0282 (1).MOV,Other,Beginner,None,Technique,"This clip may involve a basic starting command for a drill, indicating a focus on initial movement.",Be explosive out of the start | Focus on the first few steps, Ready go good
c03e6bcd465e441fbe37cbd16ce8a107 (1).MOV,Route Running,Intermediate,"Football, Cones","Technique, Agility","The drill focuses on running specific routes with precision, emphasizing footwork and body positioning to create separation from defenders.",Maintain a low center of gravity during cuts | Use quick footwork to gain leverage,
IMG_5115.MOV,Footwork,Beginner,None,"Agility, Technique",The drill focuses on adjusting foot placement to improve agility and technique in movement patterns.,Step wider to enhance balance | Maintain proper foot alignment for better performance, Step wider.
IMG_5117.MOV,Other,Beginner,None,Technique,The video appears to have unclear content based on the transcript provided but may involve basic instruction or encouragement.,Focus on communication | Ensure understanding of directions," Hier, hier, hier, hier. Hier. Ja. Hey."
IMG_5119.MOV,Other,Intermediate,None,"Agility, Technique",The player demonstrates an agile movement by jumping outside while maintaining ground control.,Focus on foot placement during lateral jumps | Maintain balance while transitioning between movements, He jumps outside. Right? He's in the ground. He's in the ground.
IMG_5120.MOV,Other,Intermediate,None,Technique,The video appears to focus on a player's return to the field and possibly their improvement or technique during practice.,Stay focused on technique as you practice. | Maintain awareness of your progress during drills., He's going to get to be once again. He's back. That's a day. He's back. Thank you.
IMG_5124.MOV,Footwork,Intermediate,None,Technique,The player is encouraged to maintain their positioning and focus on their footwork during the drill.,Don't back up. | Keep your stance steady., He got the mood that way. Don't back up. Don't back up. Let me see.
IMG_5122.MOV,Other,Intermediate,None,Technique,The video appears to involve a personal training session focused on improving the player's engagement and physical readiness. The phrases indicate a motivational tone and suggest a level of challenge.,Stay motivated | Push through the intensity," I'm gonna get you back. You're gonna get up damn well. Hang on, hang on more, so look."
IMG_5116.MOV,Route Running,Intermediate,"Football, Cones","Technique, Agility",The video focuses on practicing various route concepts and techniques for wide receivers using cones as position markers.,Maintain proper stance and posture while running routes | Focus on sharp cuts and quick acceleration out of breaks,
IMG_5121.MOV,Other,Beginner,None,,The video appears to capture a casual or informal moment without specific training content. The transcript does not provide clear information about a drill.,, I wonder what they're like. Yeah. Fucking hell.
IMG_5110.MOV,Other,Intermediate,None,Technique,"The training video likely involves some technical aspects of a football drill, possibly focusing on footwork or route running technique given the mention of 'shoot a knee' and 'going through there'.",Focus on proper knee alignment | Maintain balance while executing the drill, And he might even shoot a knee in. Right down the deemed right that going through there. We've got 3-8 홈 fame
IMG_5112.MOV,Route Running,Intermediate,None,Technique,"The drill focuses on maintaining proper eye placement while running routes, specifically monitoring the hips and feet of the defender.",Keep your eyes focused on the defender's hips | Don't lose track of key movements during the route, Your eyes went from his hips to his feet and then you lost your lips.
IMG_5114.MOV,Other,Beginner,None,Technique,The video likely contains training content focused on foundational skills for wide receivers.,Focus on proper stance and alignment | Maintain balance during drills, the
IMG_5111.MOV,Other,Beginner,None,Technique,"The video appears to document a training session where the speaker is attempting to achieve a specific goal, possibly relating to their performance or technique in football.",Stay focused during practice | Strive for improvement in every repetition," I want to get a good one. Yeah, I can't. I can't."
IMG_5105.MOV,Release Moves,Intermediate,None,Technique,The drill appears to focus on improving the player's ability to release from a defender by utilizing various moves.,Work on quick foot movement to create separation. | Keep your head up to read the defender's response.," but I'll take you. Hey, you're trying to grab. Loose."
IMG_5107.MOV,Other,Intermediate,None,"Technique, Body Control","The video appears to involve a discussion or commentary related to a football or WR training drill, potentially focusing on body control and technique in a manner similar to basketball.",Maintain body control | Focus on technique similar to basketball actions, You still got lag right? Three more are you? No we would. It's like playing basketball.
IMG_5108.MOV,Other,Beginner,None,Technique,"The video appears to capture an informal training environment where participants are discussing potential players to work with, indicating a focus on collaboration and preparation for upcoming drills.",Stay engaged with teammates | Communicate effectively during drills, who are we going to get? Yes! We've just got in?
IMG_5113.MOV,Other,Beginner,None,,The transcript consists of unclear dialogue without specific training instruction or context. It appears to be prompting a player during a training session.,," And let me know where you're going. Hey, hey, hey, yeah."
IMG_5106.MOV,Other,Beginner,None,Technique,"The training involves hitting and knocking down an object, suggesting a focus on fundamental techniques.",Maintain proper form while hitting the target | Focus on follow-through after contact," something to hit, knock down."
IMG_5109.MOV,Footwork,Beginner,None,"Agility, Technique","The drill focuses on footwork and positioning, encouraging the player to stay in front and maintain their balance as they move.",Stay in front | Maintain balance while moving," Come here, bro. Stay in front. Stay in front. Go."
IMG_5100.MOV,Other,Beginner,None,,"The video appears to contain minimal dialogue, making it unclear what specific drill or training is demonstrated. Limited information is available to provide a detailed analysis.",, Yep
IMG_5098.MOV,Release Moves,Intermediate,None,"Technique, Agility",This drill focuses on using body movement to beat defenders and stay inside during routes.,Use your hips to sell the move | Stay low and maintain your balance while moving, beat up on you move with them stay inside
IMG_5102.MOV,Other,Intermediate,None,Technique,"The video seems to involve a discussion about a specific player and his skills, possibly focusing on a strategic or mental aspect of training.",Encouragement to believe in one's abilities | Focus on individual player strengths," Exactly, I'll say you can't, I'll never say you can't. That guy, day day, that's where we're going. Our boy, probably."
IMG_5104.MOV,Footwork,Beginner,None,"Agility, Body Control","The athlete is practicing footwork, focusing on developing awareness of their movements and coordination with their feet.",Be patient and deliberate with your movements | Keep your feet light and quick," He did? I just had to try out, just wait, be patient. I can see my feet good, good, good, good, good, good."
IMG_5097.MOV,Footwork,Intermediate,None,"Agility, Technique",The video focuses on the importance of having good footwork as a foundational skill for wide receivers. Emphasis is placed on the necessity of agile movements.,Focus on your foot placement | Maintain balance while moving," I think you gotta have feet, you gotta have..."
IMG_5099.MOV,Other,Intermediate,None,Technique,"The video appears to involve a discussion about a specific point, potentially related to a football drill, but lacks clear context.",Focus on maintaining composure during the drill | Adjust techniques as needed based on performance, There it goes again. Out of point.
IMG_5101.MOV,Other,Intermediate,None,Technique,"The video appears to involve a training session that may touch upon strategies and management, implying a focus on technique in a holistic team context.",Focus on understanding strategic management aspects of the game | Emphasize the importance of teamwork and communication,挺恐怖 management要那一首
IMG_5085 (1).MOV,Route Running,Intermediate,Football,"Technique, Agility",The drill focuses on refining the receiver's route running technique and improving their agility while navigating through routes.,Maintain low pad level during cuts | Accelerate out of breaks,
IMG_5094 (1).MOV,Other,Beginner,None,Technique,"The video appears to capture a basic aspect of football training, possibly focusing on fundamental movement or a technique. The specific context is unclear from the brief transcript.",Focus on straight-line speed | Maintain proper form during movement,three. That I saw is going straight. Ya know
IMG_5084 (1).MOV,Route Running,Intermediate,None,"Agility, Technique",The drill involves shuffling and reacting to the movements of a defender to effectively run routes. Emphasis is placed on footwork and cutting in response to the receiver's movements.,Shuffle effectively to mirror the defender | Cut out at the right moment to create separation, This is what I want. I want you to run. You got my defender. You're going to shuffle shuffle whichever I mean You're gonna shuffle whichever way I points my receiver you gonna shuffle shuffle then they gonna run I'm gonna tell you what they doing you gotta cut them out and get your hands aside of go
IMG_5087 (1).MOV,Other,Beginner,None,,"The transcript is unclear, but it may relate to a basic movement or warm-up exercise.",, come on Come home are you
IMG_5089 (1).MOV,Other,Beginner,None,Technique,"This video likely involves preparing players at the line of scrimmage, emphasizing their positioning and readiness for the next play.",Focus on your stance and balance | Be ready to react quickly, On the line on the line.
IMG_5092 (1).MOV,Other,Beginner,None,Technique,"The video appears to feature a training session related to football, but specific details from the transcript are unclear.",Focus on foot placement | Maintain proper body posture, right there That light
IMG_5086 (1).MOV,Other,Beginner,None,Body Control,"The video appears to feature a drill involving an action of diving, which likely focuses on body control and coordination.",Stay poised before the dive | Maintain body awareness while executing the dive, Only be standing. Now I'm diving. Go ahead.
IMG_5093 (1).MOV,Other,Beginner,None,Technique,"The video appears to focus on providing visual cues and encouraging a player during their training session, though specific details of a drill are not described.",Encourage player to visualize movements | Support player to improve performance," He is the visual. But now you let it out, girl. Yes. There you go. Go ahead. You see how you..."
IMG_5095 (1).MOV,Other,Beginner,None,"Technique, Body Control","The video appears to focus on motivating and encouraging the player during a drill, with a strong emphasis on positive reinforcement.",Stay focused and keep a positive mindset | Maintain high energy throughout the drill," Good luck. Right there. Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes."
