filename,video_link,current_category,suggested_category,confidence,difficulty,equipment,focus_area,description,coaching_cues,full_transcript
IMG_5094.MOV,https://drive.google.com/file/d/1t4aDKnBRC8bWppVsIz7UQn_WjbBZ2moH/view,Route Running,Route Running,100,Intermediate,None,"Technique, Agility","The drill seems to focus on a specific route type, emphasizing positioning and movement toward the outside. It appears to enhance route execution skills for wide receivers.",Maintain outside leverage | Focus on foot placement and balance," Outside, outside, outside. Nice."
IMG_5088.MOV,https://drive.google.com/file/d/1ur69MRGiCBaHejAN_Vu6Ji6WJcbRVv8B/view,Release Moves,Footwork,100,Intermediate,None,Technique,"The drill emphasizes improving the player's release technique off the line of scrimmage, focusing on the plant foot movement.",Focus on a quick and explosive plant foot | Maintain balance during the release," Let it go, let it go now. The plant has a plant has a plant."
IMG_5084.MOV,https://drive.google.com/file/d/1CpaBTrJrvWz4O7HkBh5fGDDICH4N4IbR/view,Footwork,Route Running,100,Intermediate,None,"Agility, Technique","This drill focuses on the footwork of receivers, emphasizing shuffling and quick cuts in response to the defender's movements.",Shuffle in the direction indicated by the receiver | Cut sharply to create separation from the defender, This is what I want. I want you to run. You got my defender. You're going to shuffle shuffle whichever I mean You're gonna shuffle whichever way I points my receiver you gonna shuffle shuffle then they gonna run I'm gonna tell you what they doing you gotta cut them out and get your hands aside of go
IMG_5125.MOV,https://drive.google.com/file/d/16x6-r13vMmMZ2hkpyndmEAji1VKJgSR6/view,Route Running,Route Running,100,Intermediate,None,"Technique, Agility",The drill appears to focus on proper positioning and body placement while running routes.,Get to the designated spot quickly | Maintain forward momentum and avoid falling behind," I want that. Get there, not back here. Good."
IMG_5067.MOV,https://drive.google.com/file/d/1kc-HPENEBORsOu5jaApI7_a4Ka78iLf5/view,Release Moves,Release Moves,100,Intermediate,None,"Technique, Explosiveness","The drill focuses on hand usage and driving technique for wide receivers, emphasizing the importance of a strong punch and driving through the target.",Emphasize a powerful punch with the hands | Focus on driving through after the punch," I'm not asking no hands off. And I want you to shoot from here. I want you to punch on that bat. So far, we don't go through it. You're going to drive. That's going to be too Wilson. First one. Give me a nice punch, second one, driving. We moved. Thank you."
IMG_4929.MOV,https://drive.google.com/file/d/10b61UV7l2WWPfuLcp-8Ff6K61CbiLIuP/view,Speed/Conditioning,,100,Beginner,None,Speed,The clip appears to be a speed conditioning drill where the athlete is encouraged to go at full speed.,Maintain high speed | Focus on quick acceleration, Let's go. Go. Go. Go.
IMG_2391.MOV,https://drive.google.com/file/d/1X7DW3Ju02XNK0D0I8M04oTri8ayrVIwM/view,Route Running,Route Running,100,Intermediate,None,"Agility, Technique","The drill focuses on executing sharp cuts and maintaining balance while running routes, emphasizing precision and speed in the movements.",Maintain a low center of gravity | Drive off the inside foot for better acceleration," Go! Stick, oh, come on! Stick, oh! Stick, oh! Stick! Nice!"
IMG_5124.MOV,https://drive.google.com/file/d/1t71CPoLH5jybnO6THHRYK1ql8DBsJek9/view,Footwork,,100,Intermediate,None,Technique,The player is encouraged to maintain their positioning and focus on their footwork during the drill.,Don't back up. | Keep your stance steady., He got the mood that way. Don't back up. Don't back up. Let me see.
IMG_5112.MOV,https://drive.google.com/file/d/1ddJa1isgstDYCrDqvUlIMdwV1XYqlwvb/view,Route Running,Footwork,100,Intermediate,None,Technique,"The drill focuses on maintaining proper eye placement while running routes, specifically monitoring the hips and feet of the defender.",Keep your eyes focused on the defender's hips | Don't lose track of key movements during the route, Your eyes went from his hips to his feet and then you lost your lips.
IMG_5105.MOV,https://drive.google.com/file/d/1gBdbsTeA5Pumyum3gaf8fa9dhcW0dZMl/view,Release Moves,,100,Intermediate,None,Technique,The drill appears to focus on improving the player's ability to release from a defender by utilizing various moves.,Work on quick foot movement to create separation. | Keep your head up to read the defender's response.," but I'll take you. Hey, you're trying to grab. Loose."
IMG_5109.MOV,https://drive.google.com/file/d/1iBwcXclzFhYRnSfTdMKCk6-3Rw3dlAZ7/view,Footwork,,100,Beginner,None,"Agility, Technique","The drill focuses on footwork and positioning, encouraging the player to stay in front and maintain their balance as they move.",Stay in front | Maintain balance while moving," Come here, bro. Stay in front. Stay in front. Go."
IMG_5098.MOV,https://drive.google.com/file/d/1DXhUXTWd6eCW-_ahEObeQlKrocBA8h6I/view,Release Moves,Route Running,100,Intermediate,None,"Technique, Agility",This drill focuses on using body movement to beat defenders and stay inside during routes.,Use your hips to sell the move | Stay low and maintain your balance while moving, beat up on you move with them stay inside
IMG_5104.MOV,https://drive.google.com/file/d/1Um9AAglx1W4g78e0jnhw8qlxpn-MSMbz/view,Footwork,Footwork,100,Beginner,None,"Agility, Body Control","The athlete is practicing footwork, focusing on developing awareness of their movements and coordination with their feet.",Be patient and deliberate with your movements | Keep your feet light and quick," He did? I just had to try out, just wait, be patient. I can see my feet good, good, good, good, good, good."
IMG_5097.MOV,https://drive.google.com/file/d/1H6Jbx0rom_IgLKWSmhmbWSHz8KUenxaS/view,Footwork,Footwork,100,Intermediate,None,"Agility, Technique",The video focuses on the importance of having good footwork as a foundational skill for wide receivers. Emphasis is placed on the necessity of agile movements.,Focus on your foot placement | Maintain balance while moving," I think you gotta have feet, you gotta have..."
